user_id,correo,product_id,purchase_date,product_name
d1e27646-69c5-4f63-936c-401363873242,llowe@roberts.com,8ffd0a31-de4d-480d-ab6f-e1252aca92a6,2023-11-25,Jeringa Desechable
b220886b-b652-44e6-a904-b4bf347fd381,laurenjackson@hotmail.com,f493f1c4-0e43-41e9-a838-6f4342f91f20,2024-01-21,Alcohol en Gel
d6ae2c97-cece-4bf0-ada1-f90405a67ed1,ojohnson@yahoo.com,00550e27-7ce0-4324-a860-0c23b4c6066f,2022-12-04,Alcohol en Gel
2cad6b16-8f33-4613-8b20-930490c34f1d,bryan87@gmail.com,fdb34abe-43ae-4670-bf8e-a2e57a6f2b57,2023-05-20,Alcohol en Gel
9e3d3d32-e003-47ec-a73f-873bf2a4d261,ymorris@hotmail.com,bc6c7008-6e20-46f2-b70d-9a49f915f09c,2023-04-08,Mascarilla Quirúrgica
5e2cdef1-25b7-47fc-a73c-eae2b9a98ada,terristevens@williams.com,11b10da0-e36a-4340-ab9a-0b8dd0842e9d,2022-10-14,Alcohol en Gel
9ed7f73d-129f-4dcd-917d-b256603024c3,tpacheco@patterson.biz,67a6477c-c37a-4de8-9bf1-cd0eda9b150c,2022-10-01,Mascarilla Quirúrgica
65de6874-3616-4bf0-b481-579fa850f72d,joyce11@hotmail.com,f3376aaf-d470-4896-99ba-3eda6e80562a,2023-04-23,Guantes de Latex
8548b844-c965-45b8-bead-d81190163c44,jackson84@campbell-gibson.biz,1cf2f724-9d7f-4754-9299-e2aac98a606b,2024-01-26,Mascarilla Quirúrgica
6a55e313-c4cd-4d79-879e-6288aa936797,stacey42@hotmail.com,4b0db13c-912f-484b-b88d-f4345092da95,2023-06-07,Termómetro Digital
2f3b3c72-ef21-443a-bc54-f9b917178fc2,phelpsryan@hamilton-casey.com,86e961f5-1d9c-466e-944a-a3f2ae72b151,2023-09-14,Mascarilla Quirúrgica
ba5b922a-0719-4d29-8357-2133200f340d,qpruitt@scott.com,ed7bc3c5-b401-4e74-88f9-b57b90e43228,2024-03-02,Jeringa Desechable
f9e0f4cf-f193-490c-ad2e-bdac7e486466,vward@contreras.com,e980bdf9-ddb0-4700-9fd0-9d5dc0adca07,2023-05-31,Estetoscopio
