user_id,correo,product_id,product_name,purchase_date
d750ed6c-b46f-4e28-96ef-6ad7faf451f8,africa85@hotmail.com,c4404c98-e862-4e1c-aa18-7c1aefc597d4,Tijeras,2023-06-24
4fdcafa6-dd05-4bc9-9e66-e4d2797a5a8b,pacoboada@gmail.com,bb866277-2d5b-4f88-8d17-7ad1184856ae,Esfigmomanómetro,2023-02-09
2c191e97-9a2d-40bf-a4a5-2631943a01d0,narcisaarias@yahoo.com,e60c4454-8d75-4627-b5e5-42f8da9c5623,Desinfectante,2024-05-20
84c0698e-3f48-485e-a471-261bd12ce3bc,rosa-maria49@amador.com,418213aa-87bc-4f1a-b586-32bcfd04d402,Termómetro,2023-09-28
11bbd3d1-3cd3-4816-bcd9-04f7871c1edb,purificacion18@gmail.com,f48c85d2-0a8a-45af-b3ac-d6e245e755d4,Mascarilla,2021-03-09
1c3445d9-e35a-4445-baa1-da8803223754,hidalgodulce@castillo.es,e31ead9c-d141-46cd-a918-fe2f017bdf49,Bata,2020-10-25
f5cc979c-d4cc-49ad-8126-91f572b539d7,marisoldiez@canete-julia.es,9d1d2b44-7d92-4c25-a657-dc95ba3d710b,Jeringa,2022-05-12
d14f4722-6bd1-42f2-b5d2-dc1a55c69edc,marinoiker@ferran-pineiro.es,9525373b-8edd-4771-b168-f8ed7f1f027f,Estetoscopio,2022-10-14
117038d1-2f83-42a4-b2ec-5c506a1dae48,codinajuan-manuel@gmail.com,60511611-d3ff-4cd2-b238-68a69225a44f,Termómetro,2022-08-02
6341fde0-42db-4a15-b12e-e86f5e0f8b91,jose-miguelmorcillo@gmail.com,592476ea-de87-4850-9252-48c5ed7e0fba,Gorro quirúrgico,2020-09-25
aadcbfac-cc3b-4429-ab78-33b07f79830e,nnebot@guijarro.org,ca622296-288d-4186-8c12-bb4f1a4e6372,Estetoscopio,2021-05-12
8107ed4d-a610-40c9-b8c9-87ea5bfdf12f,albino01@jove-monreal.es,ea6e8c3e-638d-4258-8983-57b2a666f299,Compresa,2023-07-26
053ccad2-22d9-4640-bd8c-25995e848a1e,ricartvinicio@mata-tamarit.com,4c201bed-f146-41f8-80b8-4b9ab8b80c1b,Compresa,2023-10-11
